ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City
6065737,0,0,6,12/5/2020,36312.60235,1,0,NA,0,1,0,0,1,5,31,SURREY                                                                                              
5075983,0,0,6,1/16/2021,92899.08603,2,0,NA,0,1,0,0,1,43,55,BURNABY                                                                                             
7705323,1,0,6,4/22/2020,905609.2972,1,1,244449.5669,0,1,0,0,1,61,32,ALDERGROVE                                                                                          
3514606,0,0,6,2/18/2021,82108.87331,1,1,NA,1,0,0,0,1,4,54,SURREY                                                                                              
8031424,0,0,6,2/13/2021,15697.24209,1,1,NA,0,0,0,0,1,37,57,MAPLE RIDGE                                                                                         
6168260,0,0,6,12/8/2020,491761.082,2,0,NA,0,0,0,0,1,2,72,VANCOUVER                                                                                           
2094519,0,0,6,1/7/2021,35194.10661,4,1,NA,0,1,0,0,1,91,63,WHITE ROCK                                                                                          
1813764,0,0,6,9/17/2020,44128.64298,1,1,NA,1,1,0,0,1,35,76,LANGLEY                                                                                             
7843543,0,0,6,11/5/2020,21330.46403,1,0,NA,0,0,0,0,1,0,51,SURREY                                                                                              
1627986,0,0,6,11/7/2020,64320.83442,3,1,NA,1,1,650.158337,0,1,13,68,SECHELT                                                                                             
8402527,0,0,6,11/5/2020,15946.27871,1,0,NA,0,0,0,0,1,5,67,PORT COQUITLAM                                                                                      
1662384,0,0,6,8/11/2020,473613.4184,2,1,NA,0,0,0,0,1,1,71,SURREY                                                                                              
5581967,0,1,6,7/29/2020,43636.36886,5,0,NA,0,1,1452.174882,0,1,18,50,SURREY                                                                                              
6496610,0,0,6,4/23/2020,925797.3187,4,0,NA,0,1,1862.612042,0,1,22,65,VANCOUVER                                                                                           
6113362,0,0,6,7/28/2020,36663.44253,1,1,NA,1,1,0,0,1,0,27,BURNABY                                                                                             
3086402,1,0,6,4/28/2020,2432.180178,2,1,NA,1,1,0,0,1,13,57,RICHMOND                                                                                            
1337133,0,0,6,7/2/2020,18894.69219,1,0,NA,0,1,0,0,1,43,55,BURNABY                                                                                             
9896359,0,0,6,8/17/2020,625616.1276,1,1,NA,0,0,0,0,1,0,72,VANCOUVER                                                                                           
7298576,0,0,6,1/13/2021,26188.9612,1,1,293797.6404,0,1,189.5948446,0,1,0,50,NEW WESTMINSTER                                                                                     
5181981,0,0,6,2/13/2021,9694.43151,3,1,242394.3385,0,0,0,0,1,0,35,MAPLE RIDGE                                                                                         
9215480,0,0,6,9/9/2020,38699.28203,4,1,NA,1,1,369.2003121,0,1,40,69,BURNABY                                                                                             
3360164,0,0,6,1/14/2021,33499.59017,3,1,NA,0,1,0,0,1,58,36,COQUITLAM                                                                                           
941131,1,0,6,6/4/2020,47611.53435,2,1,NA,0,0,0,0,1,11,37,DELTA                                                                                               
1312653,0,0,6,6/5/2020,480365.0175,6,0,231156.024,0,1,202.6118231,0,1,2,51,VANCOUVER                                                                                           
8296559,0,0,6,2/17/2021,525188.7963,4,1,NA,1,1,1032.473521,0,1,0,66,VANCOUVER                                                                                           
5864512,0,0,6,4/16/2020,293032.0922,2,1,NA,0,1,177.6682023,0,1,1,58,WHITE ROCK                                                                                          
