,ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City,Unnamed: 17
5964,8475555,0,0,3,5/13/2020,598343.2536,1,0,,0,1,1708.962918,1,1,0,54,SURREY                                                                                              ,
5965,8480671,0,1,3,8/12/2020,48457.55,1,1,,0,1,1028.031393,0,1,2,71,VANCOUVER                                                                                           ,
5966,8485655,0,0,3,5/22/2020,54.39,1,1,,0,0,0,0,1,41,59,VANCOUVER                                                                                           ,
5967,8487486,0,0,3,11/5/2020,865195.96,2,1,,1,1,1427.876827,0,1,113,65,NORTH VANCOUVER                                                                                     ,
5968,8490645,1,1,3,5/16/2020,453500.4986,1,0,,0,0,0,1,1,5,39,BURNABY                                                                                             ,
5969,8492951,0,0,3,5/26/2020,284412.52,2,0,,0,1,0,0,1,0,29,NORTH VANCOUVER                                                                                     ,
5970,8493667,1,0,3,5/14/2020,428014.2339,2,1,,1,1,0,1,1,70,45,COQUITLAM                                                                                           ,
5971,8494213,0,0,3,12/1/2020,3302.34,3,1,,1,1,287.6461284,0,1,0,44,VICTORIA                                                                                            ,
5972,8498260,0,0,3,7/13/2020,991.84,3,0,,0,1,0,0,1,3,35,SURREY                                                                                              ,
5973,8498680,0,0,3,4/17/2020,672293.3327,2,0,,0,0,0,1,1,19,57,SURREY                                                                                              ,
5974,8499199,0,0,3,8/6/2020,13415.91,1,1,,1,1,0,0,1,0,61,COQUITLAM                                                                                           ,
5975,8500086,0,0,3,4/2/2020,524951.38,3,1,,0,0,0,1,1,4,65,COQUITLAM                                                                                           ,
5976,8501264,0,0,3,6/25/2020,12016.3,1,0,,1,0,0,0,1,3,49,NORTH VANCOUVER                                                                                     ,
5977,8501792,1,0,3,4/8/2020,488407.1328,2,0,,0,1,0,1,1,10,66,BURNABY                                                                                             ,
5978,8502655,0,0,3,4/18/2020,892.45,2,1,,0,0,0,0,1,0,72,VANCOUVER                                                                                           ,
5979,8503625,0,0,3,7/17/2020,314.02,3,0,237101.6062,0,1,0,0,1,20,30,MISSION                                                                                             ,
5980,8504288,1,0,3,4/29/2020,5734.4,3,0,,1,1,1559.2053,0,1,89,61,COQUITLAM                                                                                           ,
5981,8505974,0,0,3,6/9/2020,502125.6051,2,1,,1,1,1435.937705,1,1,34,40,VANCOUVER                                                                                           ,
5982,8506629,0,1,3,8/27/2020,0,1,1,209473.8371,0,1,0,0,1,0,46,GARIBALDI HIGHLANDS                                                                                 ,
5983,8507898,0,0,3,7/16/2020,35,1,1,,0,1,1213.684719,0,1,0,61,BURNABY                                                                                             ,
5984,8507952,0,0,3,1/13/2021,2837.82,3,0,,0,0,0,0,1,104,50,VANCOUVER                                                                                           ,
5985,8510416,0,0,3,4/29/2020,32744.99,4,1,,0,0,0,0,1,12,61,WEST KELOWNA                                                                                        ,
5986,8510857,0,1,3,7/22/2020,1527.99,1,0,,0,1,1550.504729,0,1,10,45,SURREY                                                                                              ,
5987,8511840,1,0,3,1/5/2021,3229.24,3,0,,0,0,0,0,1,30,47,BURNABY                                                                                             ,
5988,8512682,0,0,3,9/12/2020,34910.09,1,1,,1,1,215.3220611,0,1,0,57,VANCOUVER                                                                                           ,
5989,8514135,1,0,3,12/15/2020,10.74,1,1,,0,1,1704.9945,0,1,8,50,KALEDEN                                                                                             ,
5990,8514425,0,0,3,9/11/2020,529437.56,2,1,,0,0,0,0,1,0,49,NEW WESTMINSTER                                                                                     ,
5991,8516706,0,0,3,7/14/2020,101.64,1,1,,0,1,232.1946696,0,1,1,82,DELTA                                                                                               ,
5992,8517991,0,0,3,4/8/2020,26500,2,0,,0,0,0,0,1,0,63,SURREY                                                                                              ,
5993,8518168,0,0,3,8/13/2020,977696.89,3,1,,0,1,575.2367123,0,1,2,44,VANCOUVER                                                                                           ,
5994,8518621,0,0,3,4/8/2020,488407.1328,2,0,,0,1,0,1,1,10,66,BURNABY                                                                                             ,
5995,8520633,1,0,3,6/18/2020,3888.3,1,1,,0,0,0,0,1,0,69,BURNABY                                                                                             ,
5996,8522638,0,0,3,4/14/2020,1173644.84,3,1,,1,1,835.5435732,0,1,0,56,SURREY                                                                                              ,
5997,8523406,0,1,3,5/8/2020,449444.4306,2,1,,0,0,0,1,1,0,49,NEW WESTMINSTER                                                                                     ,
5998,8525116,0,1,3,9/10/2020,0,1,1,,0,1,1499.758651,0,1,0,54,SURREY                                                                                              ,
5999,8525186,0,1,3,9/17/2020,0,1,1,,0,1,0,0,1,0,52,BURNABY                                                                                             ,
6000,8525614,1,0,3,4/18/2020,1264362.945,1,0,,0,0,0,1,1,0,43,SURREY                                                                                              ,
6001,8528213,0,1,3,9/15/2020,2109.24,1,1,,0,1,2198.290454,0,1,11,42,ABBOTSFORD                                                                                          ,
6002,8529347,0,0,3,1/21/2021,226.73,2,0,,0,1,1657.339789,0,1,0,42,MOSCOW                                                                                              ,
6003,8529385,1,1,3,5/12/2020,1288809.391,3,1,,0,1,0,1,1,105,49,VANCOUVER                                                                                           ,
6004,8532812,0,0,3,2/4/2021,31823.02,3,0,,0,0,0,0,1,0,60,SURREY                                                                                              ,
6005,8534085,0,0,3,8/12/2020,1135.67,1,0,,1,1,287.4387779,0,1,34,41,VANCOUVER                                                                                           ,
6006,8535816,1,0,3,5/25/2020,380005.85,3,1,,0,1,1531.715138,0,1,1,46,NORTH VANCOUVER                                                                                     ,
6007,8538791,0,0,3,2/17/2021,3123.08,2,1,,1,1,0,0,1,1,48,VICTORIA                                                                                            ,
6008,8538921,0,0,3,6/24/2020,3433.59,2,1,,0,0,0,0,1,6,74,NEW WESTMINSTER                                                                                     ,
6009,8540138,1,0,3,2/12/2021,1843.68,1,0,,0,1,390.4842868,0,1,0,55,SURREY                                                                                              ,
6010,8547554,0,0,3,4/16/2020,0,1,1,,0,0,0,0,1,0,46,PORT MOODY                                                                                          ,
6011,8547708,0,0,3,8/5/2020,770873.22,3,0,,0,1,0,0,1,0,56,SURREY                                                                                              ,
6012,8548098,0,0,3,8/17/2020,1218.37,1,0,,0,0,0,0,1,0,63,LANGLEY                                                                                             ,
6013,8549057,0,1,3,8/8/2020,11975.09,2,1,,0,0,0,0,1,28,54,NORTH VANCOUVER                                                                                     ,
6014,8552740,0,0,3,4/7/2020,692296.3625,2,0,,0,1,2215.067697,1,1,0,32,SURREY                                                                                              ,
6015,8552800,0,0,3,9/16/2020,6812.26,2,1,92402.30486,0,1,0,0,1,3,64,SURREY                                                                                              ,
6016,8553271,0,0,3,6/17/2020,10000.25,1,0,,0,1,456.2818893,0,1,0,64,SURREY                                                                                              ,
6017,8553695,0,0,3,2/17/2021,10.57,3,0,,0,1,0,0,1,38,69,MISSION                                                                                             ,
6018,8553884,0,0,3,5/19/2020,1197576.51,2,0,,0,1,1435.942228,0,1,0,59,SURREY                                                                                              ,
6019,8555034,0,0,3,2/2/2021,503.13,2,0,,0,1,190.0950763,0,1,0,49,SURREY                                                                                              ,
6020,8555167,0,0,3,12/10/2020,894262.81,2,0,,0,1,1670.409203,0,1,1,54,ABBOTSFORD                                                                                          ,
